ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00002;017;63734208370,5346;0;-0,1396263;0;1;93,73661;47,47832;89,36864;91,83589;
00002;017;63734208376,344;1;0,03490658;1;2;99,54575;93,7547;95,18717;98,96213;
00002;017;63734208382,6531;0;-0,06981317;0;3;105,8546;99,95892;101,2182;104,6956;
00002;017;63734208391,2864;0;0,1047198;0;4;114,488;105,8719;107,0275;113,2305;
00002;017;63734208395,1853;0;0,08726647;0;5;118,387;115,0485;116,1101;117,8976;
00002;017;63734208399,0282;0;0,1396263;0;6;122,2294;118,6342;119,8063;121,6443;
00002;017;63734208402,9489;1;-0,08726647;1;7;126,1503;122,2476;123,5361;125,6691;
00002;017;63734208407,7317;1;-0,2268928;1;8;130,9331;126,2533;127,3884;130,3174;
00002;017;63734208411,5086;0;0,08726647;0;9;134,7104;131,1452;132,1971;134,2029;
00002;017;63734208416,1514;0;0,1745329;0;10;139,3534;135,1099;136,2727;139,0022;
00002;017;63734208420,8428;1;0,06981317;1;11;144,0447;139,6224;140,644;143,6008;
00002;017;63734208424,5175;0;0,1047198;0;12;147,7195;144,2012;145,5179;147,382;
00002;017;63734208430,5149;1;-0,08726647;1;13;153,717;147,7379;148,8455;151,1686;
00002;017;63734208434,5248;1;-0,1745329;1;14;157,7265;153,7415;154,7757;157,1949;
00002;017;63734208441,7632;0;0,08726647;0;15;164,9646;157,9847;159,0588;164,5919;
00002;017;63734208445,4927;1;-0,06981317;1;16;168,6943;164,9878;166,1819;168,224;
00002;017;63734208450,2845;1;-0,1047198;1;17;173,4865;168,7117;169,8665;173,1067;
00002;017;63734208456,1163;1;-0,03490658;1;18;179,3178;173,5035;174,6734;176,8139;
00002;017;63734208459,6458;1;-0,08726647;1;19;182,8473;179,3349;180,3714;182,3295;
00002;017;63734208463,4547;0;0,1047198;0;20;186,6566;182,8646;184,0634;186,3854;
00002;017;63734208468,1009;1;-0,1745329;1;21;191,3028;186,6746;187,6057;191,2603;
00002;017;63734208475,2947;0;-0,03490658;0;22;198,4968;191,3207;192,334;198,2092;
00002;017;63734208478,9471;0;0,1396263;0;23;202,1488;198,5427;199,6917;201,8724;
00002;017;63734208482,533;0;0,03490658;0;24;205,7343;202,1666;203,1494;205,455;
00002;017;63734208485,8754;1;-0,2268928;1;25;209,0772;205,7594;206,7969;208,8099;
00002;017;63734208489,7066;0;0,2268928;0;26;212,9084;209,1526;210,2577;212,5141;
00002;017;63734208499,2993;1;-0,06981317;1;27;222,5011;212,9278;213,8614;222,1543;
00002;017;63734208504,1799;0;0,06981317;0;28;227,3816;222,7474;223,7834;226,7456;
00002;017;63734208512,6597;1;-0,1745329;1;29;235,861;227,7289;228,772;235,5168;
00002;017;63734208517,7398;0;0,03490658;0;30;240,9413;236,0826;237,2609;240,6934;
00002;017;63734208521,1493;0;0,06981317;0;31;244,3508;240,965;241,9844;243,7992;
00002;017;63734208524,3444;1;-0,1745329;1;32;247,5456;244,3754;245,3656;247,1197;
00002;017;63734208530,2715;0;0;0;33;253,4732;247,5622;248,5457;252,8865;
00002;017;63734208533,2099;1;-0,2268928;1;34;256,4111;253,5053;254,5289;256,0408;
00002;017;63734208536,7063;1;-0,1047198;1;35;259,9079;256,7247;257,5731;259,5946;
00002;017;63734208540,7929;0;0,2268928;0;36;263,9945;259,9255;261,0371;263,6269;
00002;017;63734208549,6841;1;0;1;37;272,8854;264,0116;264,8923;272,2229;
00002;017;63734208553,0916;0;0,1745329;0;38;276,2928;272,9038;274,0585;275,9961;
00002;017;63734208555,9628;0;0,1745329;0;39;279,164;276,3175;277,2865;278,8731;
00002;017;63734208562,5556;1;-0,03490658;1;40;285,7569;279,2991;280,3207;285,4542;
00002;017;63734208565,5453;1;-0,1047198;1;41;288,7467;285,7749;286,8813;288,5162;
00002;017;63734208568,6738;0;-0,06981317;0;42;291,8754;288,7633;289,7127;291,3603;
00002;017;63734208572,3926;1;0;1;43;295,5937;291,8986;292,9257;294,7094;
00002;017;63734208576,2134;1;-0,1047198;1;44;299,4146;295,7186;296,6328;298,4849;
00002;017;63734208580,7489;1;-0,03490658;1;45;303,9501;299,4321;300,3959;302,0387;
00002;017;63734208584,2663;0;0,1396263;0;46;307,4681;303,9673;305,1061;307,0378;
00002;017;63734208587,727;1;0;1;47;310,9286;307,4866;308,5348;310,123;
00002;017;63734208590,7012;0;0,2268928;0;48;313,9029;310,9475;312,0049;313,7054;
00002;017;63734208596,9226;1;0,08726647;1;49;320,1244;313,9214;314,972;319,7134;
00002;017;63734208599,8371;1;-0,1396263;1;50;323,0384;320,1419;321,2076;322,798;
00002;017;63734208602,7508;1;-0,1396263;1;51;325,9528;323,0552;324,0663;325,6422;
00002;017;63734208606,6718;1;-0,2268928;1;52;329,8736;325,9792;326,9717;329,5818;
00002;017;63734208609,5988;0;0,1047198;0;53;332,8006;329,8907;330,9863;332,581;
00002;017;63734208615,0458;0;-0,08726647;0;54;338,2474;332,8197;333,8211;338,0605;
00002;017;63734208618,1323;0;0,1396263;0;55;341,334;338,2662;339,3613;340,9221;
00002;017;63734208621,5655;1;0,03490658;1;56;344,7675;341,3513;342,4055;343,9022;
00002;017;63734208624,2633;0;0,06981317;0;57;347,4648;344,7872;345,8268;347,1741;
00002;017;63734208627,4479;0;0,1745329;0;58;350,6497;347,4828;348,5143;350,5195;
00002;017;63734208632,943;1;-0,1396263;1;59;356,1445;350,6679;351,7275;355,8062;
00002;017;63734208635,772;0;0,2268928;0;60;358,9731;356,1626;357,2079;358,7232;
00002;017;63734208638,6962;1;0;1;61;361,8982;359,0508;359,9265;361,6443;
00002;017;63734208642,1501;1;-0,2268928;1;62;365,3517;362,0773;363,1471;365,0756;
00002;017;63734208645,4426;1;-0,1047198;1;63;368,6443;365,3695;366,4028;368,1964;
00002;017;63734208648,3982;0;-0,08726647;0;64;371,6002;368,663;369,5974;371,1891;
00002;017;63734208651,7316;1;0;1;65;374,9333;371,6197;372,8063;374,5509;
00002;017;63734208656,7225;1;-0,2268928;1;66;379,9243;374,9511;376,0682;379,6236;
00002;017;63734208660,443;0;0,2268928;0;67;383,6447;379,9427;381,1158;383,3422;
00002;017;63734208666,1526;0;0,1047198;0;68;389,3546;383,6618;384,7313;389,0625;
00002;017;63734208668,8317;0;0,2268928;0;69;392,0338;389,373;390,3857;391,7878;
00002;017;63734208682,7267;0;0,2268928;0;70;405,9283;392,0514;393,0901;394,882;
