ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00002;018;63735180498,1847;0;0,1047198;0;1;27,05661;18,7355;23,94601;26,5909;
00002;018;63735180508,7715;0;0,1570796;0;2;37,64274;27,08658;29,69367;32,93438;
00002;018;63735180516,8111;1;-0,2268928;3;3;45,68314;37,81514;41,18257;45,15991;
00002;018;63735180519,564;1;-0,2268928;2;4;48,43565;45,71945;46,91073;47,98393;
00002;018;63735180523,0676;0;0,03490658;0;5;51,93893;48,46376;49,72433;51,20058;
00002;018;63735180525,9603;0;-0,03490658;0;6;54,8316;51,9675;53,11085;54,50037;
00002;018;63735180528,8016;0;0,05235988;0;7;57,67346;54,86497;56,08764;57,38114;
00002;018;63735180532,493;0;0,2268928;0;8;61,36489;57,70039;59,06259;61,15037;
00002;018;63735180535,0967;0;-0,03490658;0;9;63,9686;61,39257;62,465;63,67596;
00002;018;63735180539,2386;0;0,05235988;0;10;68,11058;63,99689;65,05508;66,67408;
00002;018;63735180542,2394;0;0,1570796;0;11;71,11044;68,13696;69,42146;70,7251;
00002;018;63735180545,5052;0;0,08726647;0;12;74,37711;71,38511;72,53529;73,97466;
00002;018;63735180551,3103;1;-0,05235988;0;13;80,18181;75,67831;77,057;78,85415;
00002;018;63735180555,6723;0;0,06981317;0;14;84,54379;81,39629;82,68924;84,11259;
00002;018;63735180559,3739;1;-0,1047198;2;15;88,24584;84,58967;86,44016;87,75169;
00002;018;63735180562,5333;0;0,1570796;0;16;91,40524;88,27309;89,67245;91,0322;
00002;018;63735180566,2871;0;0;0;17;95,15884;91,43353;92,9615;94,60482;
00002;018;63735180570,7597;0;0,1047198;0;18;99,63166;95,18639;96,76518;99,13914;
00002;018;63735180574,3176;1;-0,06981317;0;19;103,1895;99,66323;101,3032;102,81;
00002;018;63735180577,7759;0;0,03490658;0;20;106,6478;103,2209;104,5423;106,2263;
00002;018;63735180580,9748;0;0,03490658;0;21;109,8463;106,6756;108,0284;109,4204;
00002;018;63735180584,477;0;0,2268928;0;22;113,3487;109,8731;111,3725;112,8675;
00002;018;63735180587,9563;1;0;0;23;116,8278;113,3805;114,7079;116,0419;
00002;018;63735180590,7494;0;0,08726647;0;24;119,6209;116,8568;117,9882;119,2511;
00002;018;63735180594,1841;1;-0,08726647;2;25;123,0559;119,6475;121,2402;122,7349;
00002;018;63735180597,7359;1;-0,05235988;3;26;126,607;123,0859;124,3473;125,6504;
00002;018;63735180601,4099;0;-0,05235988;0;27;130,2811;126,6413;127,9723;129,3917;
00002;018;63735180604,8172;0;0,2268928;0;28;133,6892;130,307;131,8604;133,1436;
00002;018;63735180608,1903;0;0;0;29;137,0623;133,7155;135,1404;136,6317;
00002;018;63735180611,9992;1;-0,1047198;3;30;140,8704;137,0985;138,5819;140,4167;
00002;018;63735180616,1211;1;-0,1047198;0;31;144,9928;140,8982;142,4579;144,3425;
00002;018;63735180619,6235;1;-0,1570796;2;32;148,4955;145,0252;146,6118;147,9022;
00002;018;63735180623,2695;0;0,06981317;0;33;152,1407;148,5236;150,0392;151,6125;
00002;018;63735180626,6184;0;0,1570796;0;34;155,4897;152,1684;153,7222;155,0939;
00002;018;63735180629,4585;1;-0,06981317;2;35;158,3297;155,5249;156,7057;158,0062;
00002;018;63735180632,5072;0;0,1047198;0;36;161,3786;158,3567;159,7151;160,9897;
00002;018;63735180635,4065;1;-0,08726647;0;37;164,2785;161,4054;162,6568;163,8884;
00002;018;63735180638,1231;0;0,06981317;0;38;166,9943;164,3051;165,5552;166,6181;
00002;018;63735180641,2294;0;0,03490658;0;39;170,1008;167,0213;168,1777;169,7;
00002;018;63735180645,8551;1;-0,08726647;1;40;174,7268;170,1288;171,4652;173,1058;
00002;018;63735180649,6753;1;-0,1570796;3;41;178,5465;174,7548;176,0106;177,4362;
00002;018;63735180652,8005;1;-0,2268928;0;42;181,6726;178,5734;180,0092;181,2826;
00002;018;63735180657,6222;1;-0,08726647;3;43;186,4934;181,7041;182,9317;184,8351;
00002;018;63735180663,1564;1;-0,06981317;3;44;192,0277;188,4149;190,0649;191,5479;
00002;018;63735180667,4461;0;0,08726647;0;45;196,3172;192,0556;193,6194;195,5174;
00002;018;63735180670,8922;1;-0,1570796;0;46;199,7636;196,3438;198,1725;199,3586;
00002;018;63735180674,2106;0;0,05235988;0;47;203,0821;199,7916;201,2376;202,7609;
00002;018;63735180677,6297;0;0,2268928;0;48;206,5012;203,1094;204,3659;206,0132;
