ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00001;011;63734302458,8251;0;0,1047198;0;1;28,87272;24,70138;26,15693;28,55832;
00001;011;63734302462,538;1;-0,1745329;1;2;32,58484;28,90804;30,06196;32,26564;
00001;011;63734302465,582;0;0,1745329;0;3;35,62957;32,61515;33,59589;35,30595;
00001;011;63734302471,0024;1;0,03490658;1;4;41,04948;36,82058;37,81286;40,52144;
00001;011;63734302474,9322;0;0,03490658;0;5;44,97942;41,59546;42,70996;44,64241;
00001;011;63734302478,3401;1;-0,08726647;1;6;48,3871;45,30442;46,27066;47,9369;
00001;011;63734302481,7713;0;0,1745329;0;7;51,81901;48,89983;49,93213;51,45593;
00001;011;63734302485,295;0;0,2268928;0;8;55,34252;52,30724;53,32204;54,99804;
00001;011;63734302488,3911;1;-0,1047198;1;9;58,43805;55,78467;56,74007;58,08548;
00001;011;63734302491,7757;1;-0,1396263;1;10;61,82335;58,8868;60,05567;61,44088;
00001;011;63734302495,0273;1;-0,2268928;1;11;65,07429;62,1809;63,16113;64,76988;
00001;011;63734302498,1655;0;0,08726647;0;12;68,21298;65,45402;66,40321;67,77621;
00001;011;63734302502,8003;0;0,03490658;0;13;72,84757;68,65417;69,68605;72,45083;
00001;011;63734302506,5881;0;0,08726647;0;14;76,63504;73,24298;74,35329;76,22892;
00001;011;63734302509,5702;1;0;1;15;79,61722;76,97005;78,0142;79,23592;
00001;011;63734302512,6106;1;-0,03490658;1;16;82,65791;80,12623;81,04465;82,23847;
00001;011;63734302516,1715;0;0,2268928;0;17;86,21865;83,04346;84,29381;85,84926;
00001;011;63734302519,5997;0;0,1396263;0;18;89,64697;86,55511;87,57972;89,21031;
00001;011;63734302522,7352;1;-0,1745329;1;19;92,78281;90,05653;91,08244;92,33397;
00001;011;63734302526,2045;1;-0,1745329;1;20;96,25209;93,20115;94,28121;95,85725;
00001;011;63734302532,4661;1;0,08726647;1;21;102,5136;96,58683;97,7018;99,63891;
00001;011;63734302536,4317;1;-0,2268928;1;22;106,4788;103,223;104,3687;106,0849;
00001;011;63734302539,423;1;-0,08726647;1;23;109,4706;106,8618;107,9028;109,1034;
00001;011;63734302543,2588;0;-0,03490658;0;24;113,3059;109,8241;110,9789;112,9225;
00001;011;63734302546,5194;0;0,1745329;0;25;116,5665;113,6421;114,8231;116,0988;
00001;011;63734302549,391;1;-0,03490658;1;26;119,4383;116,8922;117,8992;119,0736;
00001;011;63734302552,7494;0;0,1745329;0;27;122,7968;119,7679;120,8796;122,4404;
00001;011;63734302555,8369;0;0,1047198;0;28;125,8844;123,0871;124,0668;125,4337;
00001;011;63734302558,874;1;-0,08726647;1;29;128,9211;126,1964;127,2083;128,494;
00001;011;63734302562,693;1;-0,1396263;1;30;132,7407;129,2585;130,3249;132,3195;
00001;011;63734302566,389;1;-0,06981317;1;31;136,4364;133,0382;134,0874;135,9656;
00001;011;63734302569,467;0;0,06981317;0;32;139,514;136,7284;137,8418;139,1043;
00001;011;63734302572,4936;1;0,06981317;1;33;142,541;139,8665;140,7342;142,2035;
00001;011;63734302575,7921;1;-0,1047198;1;34;145,8398;142,9835;144,1295;145,5089;
00001;011;63734302579,5514;0;0,06981317;0;35;149,5989;146,2281;147,3178;149,1453;
00001;011;63734302582,8451;0;0,2268928;0;36;152,8924;149,9346;150,9103;152,5095;
00001;011;63734302585,6596;1;-0,06981317;1;37;155,7065;153,1429;154,0793;155,3228;
00001;011;63734302588,4724;1;-0,06981317;1;38;158,5198;155,9819;156,8135;158,1828;
00001;011;63734302591,4222;0;0,06981317;0;39;161,4694;158,8363;159,7142;161,0534;
00001;011;63734302594,7041;0;0,1047198;0;40;164,7517;161,7845;162,7169;164,102;
