ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00001;003;63728541646,6014;1;0,01745329;1;1;559,3381;455,7215;556,5256;558,1547;
00001;003;63728541676,2109;0;0,05235988;2;2;588,9484;562,6451;586,479;588,2266;
00001;003;63728541685,1917;1;0,1047198;3;3;597,9291;589,6835;595,6285;597,1914;
00001;003;63728541690,8221;1;-0,01745329;0;4;603,5588;598,6492;601,2414;602,8774;
00001;003;63728541696,0711;1;-0,05235988;1;5;608,8079;604,2001;606,7379;608,2175;
00001;003;63728541702,9843;1;-0,1047198;2;6;615,7218;609,5895;612,4081;615,0682;
00001;003;63728541710,8158;1;-0,06981317;2;7;623,5527;617,0797;619,6534;621,5806;
00001;003;63728541717,0612;1;-0,1396263;1;8;629,7983;624,2452;628,3273;629,1567;
00001;003;63728541722,9902;0;0,1396263;1;9;635,7267;630,8472;634,0079;635,0351;
00001;003;63728541729,2727;0;0,06981317;2;10;642,0095;636,5542;639,0131;641,3621;
00001;003;63728541734,6558;1;-0,1396263;2;11;647,3928;642,7761;645,2006;646,7515;
00001;003;63728541743,2826;0;0,05235988;3;12;656,0198;648,172;653,0405;655,0632;
00001;003;63728541749,8173;1;0;3;13;662,5543;656,7936;659,2772;661,603;
00001;003;63728541755,7404;1;-0,1396263;1;14;668,4777;663,205;666,1224;667,9218;
00001;003;63728541761,0937;0;0,1396263;1;15;673,8311;669,1245;672,0728;673,2075;
00001;003;63728541766,216;1;-0,01745329;2;16;678,953;674,5824;676,9974;678,3964;
00001;003;63728541773,768;0;0,05235988;2;17;686,505;679,5599;681,8804;684,967;
00001;003;63728541780,8707;1;0,05235988;2;18;693,6078;687,2979;691,7321;692,8508;
00001;003;63728541786,5453;0;0,1047198;2;19;699,2824;694,1591;696,517;698,6725;
00001;003;63728541792,3644;1;0,01745329;3;20;705,1014;700,0208;703,5826;704,4918;
00001;003;63728541800,7316;1;0,1047198;1;21;713,4686;705,8414;708,4084;710,5975;
00001;003;63728541807,6899;1;0,05235988;3;22;720,4266;714,53;716,9191;718,8356;
00001;003;63728541813,0947;1;-0,06981317;1;23;725,8322;721,0749;723,6811;725,1426;
00001;003;63728541821,0204;0;0,1396263;2;24;733,7571;726,5821;732,384;733,1883;
00001;003;63728541830,4865;1;0,01745329;1;25;743,2238;734,433;740,5837;742,3749;
00001;003;63728541839,0536;0;-0,01745329;2;26;751,791;743,8166;749,2318;750,8795;
00001;003;63728541846,4589;0;-0,06981317;2;27;759,1959;752,5187;756,1719;757,6439;
00001;003;63728541852,1689;1;-0,05235988;0;28;764,9055;759,9348;762,1591;763,8825;
00001;003;63728541857,6212;1;-0,01745329;1;29;770,3581;765,5881;768,0428;769,4254;
00001;003;63728541864,8905;0;0,1047198;2;30;777,6274;770,9597;775,8143;777,0453;
00001;003;63728541874,6172;0;0,05235988;2;31;787,3545;778,3001;785,0375;786,603;
00001;003;63728541883,8466;1;-0,06981317;1;32;796,5833;788,1179;794,5649;795,8664;
00001;003;63728541891,7974;0;0,1396263;2;33;804,5349;797,1411;802,3035;803,9703;
00001;003;63728541901,3802;0;0,1396263;3;34;814,1171;805,1788;811,6613;813,2633;
00001;003;63728541906,295;1;-0,1396263;2;35;819,0321;814,8123;817,1462;818,5414;
00001;003;63728541914,8394;0;0,1047198;3;36;827,5768;819,5489;824,1494;826,8554;
00001;003;63728541921,1266;1;-0,01745329;2;37;833,8641;828,2823;830,7755;832,0988;
00001;003;63728541928,1203;0;0,05235988;2;38;840,8568;834,5252;837,3622;839,4564;
00001;003;63728541937,6781;1;-0,06981317;1;39;850,4147;841,8146;848,4766;849,8864;
00001;003;63728541943,2661;0;0,05235988;2;40;856,0034;851,0132;853,6024;855,2211;
00001;003;63728541953,5096;1;-0,1396263;0;41;866,2461;856,7233;864,3949;865,5481;
00001;003;63728541962,4875;0;-0,1396263;0;42;875,2249;866,8058;872,5687;874,411;
00001;003;63728541972,8794;1;-0,05235988;0;43;885,6166;875,8979;882,9307;884,7264;
00001;003;63728541980,7966;0;-0,01745329;0;44;893,5336;886,1334;891,2219;892,8519;
00001;003;63728541989,0289;1;0,01745329;2;45;901,7657;894,351;898,9963;900,8284;
00001;003;63728541998,5007;0;-0,01745329;1;46;911,2374;902,4033;908,6266;910,4836;
00001;003;63728542005,7497;0;0,1047198;1;47;918,4864;911,991;916,5897;917,8394;
00001;003;63728542013,2121;1;-0,01745329;1;48;925,9493;919,2363;923,8033;925,3902;
00001;003;63728542021,8491;0;-0,01745329;0;49;934,5856;926,6349;931,311;933,5195;
00001;003;63728542031,6393;1;0,1396263;3;50;944,376;935,3204;942,452;943,8865;
00001;003;63728542038,4657;0;0,01745329;3;51;951,2023;944,9445;947,4389;950,381;
00001;003;63728542044,2918;1;0,1396263;1;52;957,0292;951,9242;954,4193;956,4799;
00001;003;63728542052,5742;0;0,1047198;1;53;965,3108;957,6036;962,944;964,2928;
00001;003;63728542059,0984;1;0,1047198;1;54;971,835;966,1154;968,8337;970,9184;
00001;003;63728542064,4029;1;-0,1047198;1;55;977,1401;972,5043;975,3185;976,6702;
00001;003;63728542071,0701;1;0,05235988;1;56;983,8069;977,7203;980,2858;981,7559;
00001;003;63728542079,8614;0;-0,05235988;0;57;992,5988;984,3886;990,2373;991,9033;
00001;003;63728542093,9344;1;0;1;58;1006,671;993,4059;1004,541;1005,989;
00001;003;63728542099,9881;0;0;2;59;1012,725;1007,186;1010,163;1011,854;
00001;003;63728542105,7967;1;-0,1396263;1;60;1018,534;1013,43;1017,309;1018,028;
00001;003;63728542111,7232;1;-0,1396263;1;61;1024,463;1019,204;1022,747;1023,874;
00001;003;63728542117,5467;0;0,1047198;2;62;1030,284;1025,093;1027,613;1029,673;
00001;003;63728542128,2605;0;0,1396263;3;63;1040,997;1030,989;1038,542;1040,349;
00001;003;63728542136,4653;1;-0,01745329;0;64;1049,202;1041,644;1046,675;1048,694;
00001;003;63728542144,4457;1;0,01745329;2;65;1057,182;1049,798;1054,58;1056,593;
00001;003;63728542152,0802;0;0,1396263;1;66;1064,817;1057,718;1063,534;1064,195;
00001;003;63728542158,8195;1;-0,1047198;1;67;1071,556;1066,89;1069,446;1070,966;
00001;003;63728542168,023;0;0,01745329;2;68;1080,76;1072,35;1077,432;1078,883;
00001;003;63728542175,1259;0;0,1396263;1;69;1087,863;1081,431;1086,457;1087,329;
00001;003;63728542182,0637;1;0,06981317;2;70;1094,8;1088,547;1091,231;1094,202;
00001;003;63728542187,6475;0;0,06981317;1;71;1100,384;1095,426;1098,061;1099,683;
00001;003;63728542195,3884;1;0;2;72;1108,125;1101,15;1106,231;1107,619;
00001;003;63728542201,8445;1;-0,1047198;2;73;1114,581;1108,796;1111,733;1113,574;
00001;003;63728542206,704;1;-0,1396263;2;74;1119,441;1115,131;1118,334;1118,904;
00001;003;63728542217,9963;0;0,05235988;3;75;1130,734;1120,186;1128,162;1129,627;
00001;003;63728542223,7031;1;0,01745329;1;76;1136,441;1131,515;1134,284;1135,828;
00001;003;63728542231,1688;0;-0,1047198;0;77;1143,906;1137,148;1139,937;1142,522;
00001;003;63728542236,4609;1;-0,1396263;2;78;1149,198;1144,719;1147,375;1148,664;
00001;003;63728542242,7138;0;-0,05235988;2;79;1155,451;1149,846;1152,629;1154,231;
00001;003;63728542250,343;1;-0,06981317;0;80;1163,08;1156,1;1160,96;1162,594;
00001;003;63728542258,6306;1;0;1;81;1171,367;1163,696;1166,564;1168,351;
00001;003;63728542264,3836;0;-0,05235988;2;82;1177,12;1171,95;1174,766;1176,245;
00001;003;63728542271,3973;1;0;2;83;1184,134;1177,792;1180,182;1182,491;
00001;003;63728542277,0494;0;0,01745329;2;84;1189,786;1184,673;1187,307;1188,92;
00001;003;63728542282,6117;1;0,01745329;2;85;1195,349;1190,492;1193,193;1194,742;
00001;003;63728542288,9779;1;0,06981317;2;86;1201,715;1195,909;1198,347;1199,739;
