Participant;Distance;Variance
1;0.1201000000;0.0000320504
2;0.1201000000;0.0000433190
3;0.1201000000;0.0001189245
4;0.1201000000;0.0000438987
5;0.1201000000;0.0001310587
1;0.2100000000;0.0000572922
2;0.2100000000;0.0000220927
3;0.2100000000;0.0001273597
4;0.2100000000;0.0000463021
5;0.2100000000;0.0000683253
1;0.3000000000;0.0000686882
2;0.3000000000;0.0000344837
3;0.3000000000;0.0001274100
4;0.3000000000;0.0000896138
5;0.3000000000;0.0001195245
1;0.3900000000;0.0001077581
2;0.3900000000;-0.0000000000
3;0.3900000000;0.0001442400
4;0.3900000000;0.0000511093
5;0.3900000000;0.0001938092
