NewData_1;NewData_2;NewData_3;NewData_4;NewData_5;NewData_6;NewData_7;NewData_8;NewData_9;NewData_10;NewData_11;NewData_12;NewData_13;NewData_14;NewData_15;NewData_16;NewData_17;NewData_18;NewData_19;NewData_20;NewData_21;NewData_22;NewData_23
2;4;63732483560.569;-0.05011921;0.7641492;-1.284439;0.9429441;0.1312794;0.2989618;-0.06514658;4;2;1;16.69809;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483565.8947;0.09662361;0.7672141;-1.40037;0.8836101;0.1227917;0.4438176;-0.08474266;6;2;2;22.02355;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483570.2513;-0.1570082;0.7637096;-1.261286;-0.9751568;-0.1388652;-0.1663437;0.04599497;2;2;3;26.37973;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483575.2098;-0.1619085;0.7644845;-1.340183;0.9637121;0.139264;0.2213085;-0.05373279;1;2;4;31.33805;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483578.8655;0.03202803;0.7653769;-1.324593;-0.9091903;-0.1277094;-0.3876796;0.08226737;5;2;5;34.99424;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483582.6933;-0.1575535;0.7657793;-1.424594;0.9506056;0.1330607;0.2737929;-0.06067435;0;2;6;38.8217;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483589.7667;-0.1474807;0.7637706;-1.171817;0.9756912;0.1420942;0.1583856;-0.05244051;3;2;7;45.89491;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483593.3645;0.03470165;0.7652782;-1.322723;0.9216693;0.1321382;0.3568571;-0.07561893;5;2;8;49.49314;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483596.692;-0.1595626;0.7644765;-1.356988;0.9548244;0.1400202;0.2554956;-0.05853665;1;2;9;52.82015;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483599.6861;-0.1587573;0.7657367;-1.427818;0.9456795;0.131361;0.2912504;-0.06006481;0;2;10;55.81448;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483604.1842;-0.1469187;0.763474;-1.174427;0.9723466;0.1343166;0.1839238;-0.0517025;3;2;11;60.31252;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483608.8223;-0.1475573;0.7643353;-1.252784;0.9661303;0.1310333;0.2118909;-0.06726641;2;2;12;64.95076;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483613.4026;0.1073214;0.7667063;-1.399437;0.8707857;0.1267814;0.465144;-0.09643598;6;2;13;69.53133;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483616.7971;-0.03179997;0.763978;-1.275035;0.9353311;0.1278613;0.3224034;-0.06973713;4;2;14;72.9258;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483620.3253;0.1145603;0.7667853;-1.396181;-0.8654361;-0.1093863;-0.4818278;0.08304771;6;2;15;76.45374;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483624.9069;-0.1472654;0.7640964;-1.342743;-0.955002;-0.1332095;-0.2588752;0.05665871;1;2;16;81.0358;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483627.5972;-0.1476876;0.7657213;-1.451129;0.9447068;0.1289155;0.2950844;-0.06192767;0;2;17;83.72564;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483630.2022;-0.04051744;0.7641215;-1.275289;-0.9469812;-0.1293141;-0.2876529;0.06132229;4;2;18;86.3306;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483633.1695;-0.1506357;0.764075;-1.239314;-0.9757953;-0.1186555;-0.1705362;0.06827834;2;2;19;89.29797;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483641.3479;-0.1714659;0.7632062;-1.14789;-0.9786433;-0.1378115;-0.145025;0.04725609;3;2;20;97.47598;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483645.2821;0.03801071;0.764919;-1.300068;0.9306233;0.1308948;0.3342237;-0.07142451;5;2;21;101.4105;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483649.0787;0.04725277;0.7651296;-1.302881;0.9120072;0.123463;0.3840628;-0.07413225;5;2;22;105.2069;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483652.8758;-0.1531916;0.7637688;-1.321294;0.9660169;0.1396338;0.2113809;-0.05130215;1;2;23;109.0045;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483655.9818;0.09917596;0.7664199;-1.398653;0.8687531;0.1212217;0.4700891;-0.09792675;6;2;24;112.1102;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483659.3424;-0.1567189;0.7630126;-1.240563;0.9804011;0.1379456;0.1340767;-0.04252383;2;2;25;115.4705;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483662.9614;-0.1674654;0.7629986;-1.147533;0.9840423;0.1356089;0.1087882;-0.03789725;3;2;26;119.0901;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483665.9889;-0.168832;0.7653423;-1.426896;0.9546515;0.1362086;0.2577824;-0.0602992;0;2;27;122.1172;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483668.8605;-0.03711049;0.7637674;-1.253707;0.9553755;0.129668;0.2592061;-0.05706298;4;2;28;124.9886;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483671.8531;-0.1685337;0.7637725;-1.325097;0.9764307;0.1436138;0.1549891;-0.04400859;1;2;29;127.9817;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483674.932;-0.1641875;0.7634037;-1.154603;0.985135;0.1385812;0.09395519;-0.03842901;3;2;30;131.0606;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483678.063;0.03210869;0.7646538;-1.296943;0.9462371;0.1291855;0.2902042;-0.06105676;5;2;31;134.1918;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483681.1333;-0.1665059;0.7649025;-1.415391;0.972357;0.1445622;0.1768741;-0.04836757;0;2;32;137.2619;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483684.1106;-0.1595463;0.7630159;-1.22744;0.982679;0.1445525;0.1090629;-0.03939436;2;2;33;140.2388;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483687.1655;0.1091554;0.7660444;-1.371343;0.8911065;0.1225568;0.4288979;-0.08339979;6;2;34;143.2941;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483690.4604;-0.0526148;0.7637033;-1.254106;0.9598606;0.133514;0.2402669;-0.05579884;4;2;35;146.5892;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483693.5316;-0.06133315;0.7632377;-1.250177;-0.961685;-0.1265087;-0.2376368;0.05183054;4;2;36;149.66;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
